"number","counts","mean","time"
0,0,0,0
1,9,7.77777777777778,1.67
2,4,5.5,1.5375
3,8,7,3.07666666666667
4,20,6.7,1.85
5,20,7.55,1.63055555555556
6,34,6.5,1.9843137254902
7,29,6.62068965517241,2.10972222222222
8,73,6.38356164383562,2.54166666666667
9,40,6.4,2.83981481481481
